RHOB,GR,NPHI,PEF,DTC
-1.49184345,-0.179291929,2.5236537955857212,-1.255363749,0.8695312799667428
-1.387066813,-0.010859451,2.7707435842726635,-1.247886375,0.6900417987732506
-1.320646472,0.028875222,2.5243003658181298,-1.247450115,0.5543499298825219
-1.274389863,-0.0081264,2.068584400863967,-1.261571515,0.5852971364045579
-1.335918767,-0.092056169,1.617341756,-1.325067262,0.7528077665291806
-1.541987906,-0.226513626,1.2459808600292974,-1.395319823,0.9484551417903163
-1.81470388,-0.33069333,1.0730919995438066,-1.447161804,1.1531137659263155
-2.040410791,-0.353687797,1.2045991201911372,-1.461532861,1.3484036833566446
-2.107929016,-0.30920234,1.358894608252264,-1.429569745,1.381713023
-1.982950265,-0.267799107,1.5690237377003617,-1.370707251,1.195254621891102
-1.742465274,-0.196023714,2.008475693114353,-1.317899514,1.0314516120107933
-1.582112568,-0.09414879,2.2942530383203708,-1.304531022,1.0252734164738677
-1.575426703,-0.000951043,1.9825949248707797,-1.278784988,1.0412892310346415
-1.604276373,0.063326226,1.1666514789073494,-1.257714265,1.069237708584941
-1.516998126,0.080420198,0.6365192055393338,-1.251950633,1.0728951240518598
-1.422767243,0.083138578,0.7655667923644255,-1.247170079,0.9533757084431276
-1.378469483,0.036234033077290465,1.0726346904228914,-1.231637411,0.844297373
-1.393659805,0.003793746,1.1332760689239207,-1.24683775,0.8993523942662113
-1.428982111,-0.010333967,0.9988431140064369,-1.289773767,1.0456801377465574
-1.495830329,0.038779803,1.0561565858639879,-1.312943774,1.1893018457652014
-1.572309792,0.11339936425101615,1.2761388361460422,-1.299451141,1.2500947668881477
-1.584703044,0.10553331261988214,1.3740123478811508,-1.277726062,1.1693494772673136
-1.547887198,0.093965785,1.3778249679401235,-1.283009801,1.0692874112750805
-1.48975856,0.048158007,1.404366864521059,-1.281491716,0.9514779693052594
-1.428908192,0.045176439,1.4694306073783034,-1.26011281,0.8584746898163402
-1.353712832,0.13390815026552316,1.416517234920301,-1.239202182,0.8022780126421579
-1.319528686,0.22208222850283862,1.0367106839170113,-1.248643941,0.7499014140451521
-1.347865662,0.2939220470432923,0.6431035106216451,-1.273170691,0.7581184240523012
-1.411371422,0.21110843713100397,0.4731728132412007,-1.285773415,0.8260921296692997
-1.453109979,0.10748572843391305,0.45886349994324865,-1.2786327,0.845681016
-1.449737195,-0.02124193,0.377622671,-1.281409372,0.8486832592008561
-1.42396795,-0.174058653,0.25768015393572097,-1.328046414,0.8511392749500925
-1.423841909,-0.410246619,0.34984479802382473,-1.392454836,0.8484016106234005
-1.547899518,-0.637985897,0.5550692045715687,-1.431285128,0.8498821484822568
-1.643150575,-0.854867093,0.6381163607583349,-1.434663797,0.8457829311058633
-1.477561951,-1.014339942,0.5680342095989575,-1.408072341,0.8486109642292805
-1.13653265,-1.099183917,0.5511167800099077,-1.401561051,0.8511242136484819
-0.852959608,-1.087001921,0.595474881,-1.415133206,0.8485010160036793
-0.844709603,-1.012387271,0.814797716,-1.428709035,0.847202219
-0.816513356,-0.985226953,1.1617251318511994,-1.422154505,0.8472167784690973
-0.803484214,-1.035636316,1.4278561818796085,-1.396816584,0.8524184919411297
-0.784975599,-1.070697259,1.427430987514374,-1.377008843,0.8498695972879077
-0.751303199,-1.101875122,1.236638999870174,-1.368028999,0.8472027213420006
-0.698097272,-1.112615259,1.0796775891014025,-1.376453496,0.8497631630150588
-0.686756416,-1.179400089,0.9895188090612657,-1.382245145,0.8485728085589773
-0.756865592,-1.194683254,0.9559862534404091,-1.389757753,0.8472032234292571
-0.825633804,-1.152339662,0.8574820154899053,-1.40790995,0.8421295320079754
-0.8871049,-1.070158954,0.8823783706391055,-1.451008818,0.8444314194722706
-1.082417426,-1.007156547,0.899140795,-1.48914814,0.8472157746236063
-1.517147859,-1.011080005,0.9541236191625584,-1.503302216,0.8472037255165136
-1.956480213,-1.014546104,1.0449645087398245,-1.494476037,0.8422098597176128
-2.177895566,-1.080494804,1.233886582694503,-1.477983059,0.8443485816553719
-2.095844233,-1.096847435,1.4515249112690236,-1.474796242,0.8472152725363498
-1.88510731,-1.073191169,1.4954937861985145,-1.477536695,0.8447291335258518
-1.663641256,-1.045384872,1.526596353083854,-1.47921376,0.8432917718808416
-1.496316014,-1.064072262,1.5697854904522757,-1.460579834,0.8432802248610053
-1.318122807,-1.075990367,1.444663137973479,-1.432094659,0.84570662
-1.187374122,-1.004592088,1.1556692152176322,-1.423467419,0.8472147704490933
-1.116797741,-0.901537154,0.9725020395329493,-1.473791184,0.8472047293620055
-1.304603714,-0.757223722,1.0036521363141657,-1.514005382,0.8423956171965649
-1.668651627,-0.694768997,1.2654875655018207,-1.533221622,0.8441653342836812
-2.057366161,-0.711468505,1.5405095896632526,-1.505574455,0.8472142683618368
-2.252414759,-0.673164209,1.7180811556626683,-1.462888751,0.844822515
-2.152163755,-0.505351876,1.8014839254413393,-1.426452542,0.8432907677063285
-1.903517839,-0.27276677,1.8395013622960572,-1.406536147,0.8432812290355193
-1.754728219,-0.08595219,1.722155400636249,-1.382734813,0.8456142432775479
-1.721505018,-0.022329639,1.2632074444288337,-1.345036738,0.8448471148185349
-1.695330642,-0.052613006,0.7299378100041188,-1.321787012,0.8479472575195764
-1.597771042,0.012105036,0.7274628610416813,-1.309871057,0.846489312
-1.524297611,0.1713418706730229,1.2477972496049436,-1.294080203,0.8455725733254702
-1.486318965,0.2603178886844476,1.5895974965910409,-1.280568018,0.8426205345203331
-1.511076563,0.23496046729759673,1.6466844553986644,-1.269568741,0.8416485709117275
-1.517917373,0.11255736579399486,1.4137896530886396,-1.295353748,0.8478428315957546
-1.57608297,0.058871162,1.3637794203489215,-1.322785115,0.8465912274296974
-1.62370613,0.006336326,1.2798054426867282,-1.331782346,0.8432892617735802
-1.634485961,-0.013650421,1.1817910560528608,-1.325468222,0.8432827349682668
-1.650110318,-0.036540914,1.0063463189148618,-1.320327387,0.8477615000406253
-1.735120774,-0.110542755,0.8714560548764633,-1.328670065,0.8466750694211091
-1.749311295,-0.200341635,0.8517652269119752,-1.30768477,0.8432887596863237
