r,g,b,cluster
1.187598,1.075935,0.535030,0
-0.723879,-0.325442,0.810656,0
1.364289,1.276131,1.237877,0
0.400520,0.358563,-0.071348,0
0.882404,0.725590,0.066465,0
0.978781,0.859055,0.273185,0
0.882404,0.758957,0.190497,0
-0.563250,-0.742518,-1.228978,1
-1.157575,-1.259693,-1.408135,1
0.769965,0.658858,-0.016223,0
1.235787,1.142667,0.548811,0
0.609336,0.492028,-0.154036,0
1.155473,1.075935,1.100064,0
-1.157575,-1.259693,-1.408135,1
-1.045135,-0.458906,1.816692,0
0.753902,0.642175,-0.030004,0
0.079263,0.441979,1.417034,0
1.187598,1.075935,0.548811,0
0.882404,0.742274,0.121590,0
-1.992842,-2.160577,-1.697543,1
0.464771,0.358563,-0.319412,0
0.448708,0.391929,-0.181598,0
-0.354434,0.125001,1.168970,0
0.529022,0.475345,-0.016223,0
0.480834,0.825689,1.499722,0
0.898467,0.809006,0.162934,0
1.091221,0.992519,0.424779,0
-0.418685,0.175050,1.017376,0
0.753902,0.592126,-0.057567,0
0.753902,0.642175,-0.043785,0
1.155473,1.059251,0.479905,0
-0.049240,0.408613,1.375690,0
1.091221,0.992519,0.424779,0
0.673588,0.525394,-0.140255,0
0.818153,0.725590,-0.016223,0
-1.832214,-1.977064,-1.628637,1
0.898467,1.009202,1.706442,0
2.087117,2.043551,1.816692,0
0.609336,0.492028,-0.154036,0
0.175640,0.024902,-0.595038,0
0.850279,0.708907,0.107809,0
0.464771,0.408613,-0.071348,0
0.657525,0.508711,-0.057567,0
0.882404,0.742274,0.121590,0
1.091221,0.992519,0.424779,0
-0.884507,-1.026130,-1.408135,1
0.529022,0.758957,1.513503,0
0.143514,0.058268,-0.236724,0
0.400520,0.925787,1.789130,0
-1.221826,-1.426523,-1.463261,1
1.203661,1.092618,0.548811,0
-1.880402,-2.210626,-0.705288,1
-1.687649,-1.092862,-0.994696,1
-0.274119,-0.392174,-0.884446,1
0.882404,0.742274,0.121590,0
0.657525,0.558760,-0.071348,0
-1.205764,-0.742518,0.176716,1
0.866342,1.009202,1.623754,0
1.219724,1.125984,0.535030,0
0.705713,0.825689,1.582410,0
0.400520,0.325197,-0.319412,0
-1.157575,-0.625737,0.342092,1
-1.189701,-0.475589,0.521249,1
-0.579313,-0.208660,0.796875,0
-1.141512,-1.243010,-1.394354,1
-1.157575,-0.342125,0.796875,1
0.111389,-0.008464,0.121590,0
-1.189701,-1.276376,-1.353010,1
0.127451,0.108318,-0.346974,0
0.914530,0.842372,0.603936,0
-1.800088,-2.093845,0.865781,1
-1.976779,-2.210626,-1.697543,1
0.834216,0.725590,0.038903,0
-1.109387,-0.992764,0.094028,1
-0.290182,-0.442223,-1.008477,1
-1.125449,-1.276376,-1.394354,1
0.352331,0.959153,1.789130,0
-0.980884,-1.276376,-1.435698,1
-1.543083,-1.743501,-1.601074,1
-1.157575,-1.259693,-1.394354,1
0.753902,0.625492,-0.016223,0
0.673588,0.508711,-0.126473,0
-0.852381,-0.842616,-0.016223,1
-1.751900,-1.960381,-1.683762,1
-1.125449,-1.209643,-1.408135,1
-1.237889,-0.358808,0.769312,1
-2.008905,-2.160577,0.810656,1
0.063200,-0.008464,-0.415881,0
0.400520,0.592126,1.458378,0
