x,y,z
-2.684125626,0.319397247,-0.027914828
-2.714141687,-0.177001225,-0.210464272
-2.888990569,-0.144949426,0.017900256
-2.745342856,-0.318298979,0.031559374
-2.728716537,0.326754513,0.090079241
-2.280859633,0.741330449,0.168677658
-2.820537751,-0.089461385,0.257892158
-2.626144973,0.16338496,-0.021879318
-2.886382732,-0.578311754,0.02075957
-2.672755798,-0.113774246,-0.197632725
-2.506947091,0.645068899,-0.075318009
-2.612755231,0.014729939,0.10215026
-2.786109266,-0.235112,-0.20684443
-3.223803744,-0.511394587,0.061299672
-2.64475039,1.178764636,-0.151627524
-2.386039034,1.33806233,0.277776903
-2.623527875,0.810679514,0.138183228
-2.648296706,0.311849145,0.026668316
-2.199820324,0.872839039,-0.120305523
-2.5879864,0.513560309,0.213665172
-2.310256215,0.391345936,-0.239444043
-2.543705229,0.432996063,0.208457232
-3.215939416,0.13346807,0.292396751
-2.302733182,0.098708855,0.039123259
-2.355754049,-0.03728186,0.125021083
-2.506668907,-0.14601688,-0.253420042
-2.468820073,0.130951489,0.094910576
-2.562319906,0.367718857,-0.078494205
-2.639534715,0.31203998,-0.145908896
-2.631989387,-0.196961225,0.040771079
-2.587398477,-0.204318491,-0.077222989
-2.409932497,0.410924264,-0.145524972
-2.648862334,0.81336382,0.22566915
-2.598736749,1.093145759,0.157810813
-2.636926878,-0.121322348,-0.143049582
-2.866241652,0.069364472,-0.164332307
-2.62523805,0.599370021,-0.268350376
-2.800684115,0.268643738,0.093699082
-2.980502044,-0.487958344,0.072927046
-2.590006314,0.229043837,-0.080082303
-2.770102426,0.263527534,0.077247693
-2.849368705,-0.940960574,-0.349230377
-2.997406547,-0.341926057,0.192509212
-2.405614485,0.188871429,0.263867946
-2.209489238,0.436663142,0.298742746
-2.714451427,-0.250208204,-0.097678144
-2.538148259,0.503771144,0.166705637
-2.839462168,-0.227945569,0.083726849
-2.54308575,0.579410022,-0.017115024
-2.703359782,0.107706082,-0.089294008
1.284825689,0.68516047,-0.406568025
0.932488532,0.318333638,-0.018014187
1.464302322,0.504262815,-0.338325765
0.18331772,-0.827959012,-0.179591392
1.088103258,0.074590675,-0.307757896
0.641669084,-0.418246872,0.041076091
1.095060663,0.28346827,0.16981024
-0.74912267,-1.004890961,0.012302919
1.044131826,0.2283619,-0.415336085
-0.008745404,-0.723081905,0.281141431
-0.507840884,-1.265971191,-0.269817183
0.511698557,-0.103981235,0.13054775
0.264976508,-0.550036464,-0.69414683
0.98493451,-0.124817854,-0.062114408
-0.173925372,-0.254854209,0.090457691
0.927860781,0.467179494,-0.314620976
0.660283762,-0.352969666,0.328027528
0.236104993,-0.333610767,-0.271161837
0.944733728,-0.543145551,-0.499519046
0.045226976,-0.583834377,-0.235002105
1.116283177,-0.084616852,0.459620991
0.357888418,-0.068925032,-0.229853888
1.298183875,-0.327787308,-0.347854352
0.921728922,-0.182737794,-0.231071778
0.714853326,0.149055944,-0.321800937
0.900174373,0.328504474,-0.316209074
1.332024437,0.244440876,-0.52170278
1.557802155,0.267495447,-0.164920984
0.81329065,-0.163350301,0.035424505
-0.305583778,-0.36826219,-0.318491581
-0.068126492,-0.705172132,-0.24421381
-0.189622472,-0.680286764,-0.306420561
0.136428712,-0.314032438,-0.177242766
1.380026436,-0.420954287,0.016167128
0.588006443,-0.48428742,0.444433499
0.806858313,0.194182315,0.388963063
1.220690882,0.407619594,-0.23716701
0.815095236,-0.37203706,-0.614720843
0.24595768,-0.268524397,0.188366812
0.166413217,-0.681926725,-0.060009226
0.464800288,-0.670711545,-0.024306856
0.890815198,-0.034464444,-0.009946933
0.230548024,-0.404385848,-0.229410241
-0.704531759,-1.012248228,-0.105691149
0.356981495,-0.504910093,0.01661717
0.33193448,-0.212654684,0.083204291
0.376215651,-0.293218929,0.077996351
0.642576008,0.01773819,-0.205394967
-0.906469865,-0.756093367,-0.012599648
0.299000842,-0.348897806,0.01058166
2.531192728,-0.009849109,0.760165427
1.415235877,-0.574916348,0.296322527
2.616676016,0.343903151,-0.110787883
1.971531053,-0.179727904,0.108424662
2.35000592,-0.040260947,0.285389563
3.397038736,0.550836673,-0.348437556
0.521232244,-1.192758727,0.545659296
2.932587069,0.355500003,-0.420239936
2.321228817,-0.243831502,-0.348304395
2.916750967,0.782791949,0.423335418
1.661774154,0.242228408,0.24244019
1.803401953,-0.215637617,-0.037648168
2.165591796,0.216275585,0.033326642
1.346163579,-0.776818347,0.281902882
1.585928224,-0.539640714,0.629029326
1.904456375,0.119250692,0.47963982
1.949689059,0.04194326,0.044186168
3.487055364,1.17573933,0.133894874
3.795645422,0.257322973,-0.513767764
1.300791713,-0.761149636,-0.344995038
2.427817913,0.378196013,0.219119324
1.199001105,-0.606091528,0.511855509
3.499920039,0.460674099,-0.573182243
1.388766132,-0.204399327,-0.064522757
2.275430504,0.334990606,0.286150091
2.614090474,0.560901355,-0.205534524
1.258508161,-0.179704795,0.045847704
1.291132059,-0.116668651,0.231256463
2.123608723,-0.209729477,0.154180024
2.388003016,0.464639805,-0.449530192
